disease,ingredient,nutrients,is_risky,risk_score,severity
diabetes,sugar,"{'sugars_100g': 79.44737864210045, 'carbohydrates_100g': 75.93564832460571, 'salt_100g': 0.512624133805857, 'fat_100g': 4.360101675980497, 'saturated_fat_100g': 2.269731157354574, 'fiber_100g': 0.19039501716813945, 'proteins_100g': 0.4464877505577043, 'energy_kcal_100g': 469.84570042796713}",1,80,high
diabetes,glucose,"{'sugars_100g': 1.1079258242036438, 'carbohydrates_100g': 20.36778877176972, 'salt_100g': 1.4273462430410082, 'fat_100g': 21.510462035080074, 'saturated_fat_100g': 2.0937636158654582, 'fiber_100g': 3.000043034560539, 'proteins_100g': 6.2840056737344065, 'energy_kcal_100g': 275.5835905568304}",1,80,high
diabetes,fructose,"{'sugars_100g': 15.515455545371406, 'carbohydrates_100g': 40.63147319999847, 'salt_100g': 0.9044856344184906, 'fat_100g': 5.33535407646467, 'saturated_fat_100g': 8.11443353883543, 'fiber_100g': 8.024714805029195, 'proteins_100g': 18.04015318263773, 'energy_kcal_100g': 219.76920573967496}",1,80,high
diabetes,sucrose,"{'sugars_100g': 0.9027894404713233, 'carbohydrates_100g': 49.17871158429681, 'salt_100g': 0.3722537429332953, 'fat_100g': 22.22996828226139, 'saturated_fat_100g': 0.950617325869626, 'fiber_100g': 0.1950107021256664, 'proteins_100g': 0.7561288822061507, 'energy_kcal_100g': 139.46516594004828}",1,80,high
diabetes,dextrose,"{'sugars_100g': 4.3760291531104905, 'carbohydrates_100g': 22.202972149343886, 'salt_100g': 0.4340101700155432, 'fat_100g': 4.7823689618362994, 'saturated_fat_100g': 3.340553148647001, 'fiber_100g': 6.738556998170672, 'proteins_100g': 7.923638871292678, 'energy_kcal_100g': 129.14918049116585}",1,80,high
diabetes,corn syrup,"{'sugars_100g': 94.69087206281203, 'carbohydrates_100g': 73.65560636177761, 'salt_100g': 0.9111575468613755, 'fat_100g': 1.519891624868942, 'saturated_fat_100g': 2.986512509190261, 'fiber_100g': 1.9234741137953848, 'proteins_100g': 1.8495573452615708, 'energy_kcal_100g': 348.5315817231022}",1,80,high
diabetes,honey,"{'sugars_100g': 81.45123261929398, 'carbohydrates_100g': 78.48059047721091, 'salt_100g': 0.8725383037882373, 'fat_100g': 0.592978449111079, 'saturated_fat_100g': 1.7678574134293072, 'fiber_100g': 1.6291281013666872, 'proteins_100g': 1.6457332333277868, 'energy_kcal_100g': 457.7212890805195}",1,80,high
diabetes,molasses,"{'sugars_100g': 3.391588075585772, 'carbohydrates_100g': 27.063980064922017, 'salt_100g': 1.145826682342663, 'fat_100g': 24.70121335757252, 'saturated_fat_100g': 7.961152361068743, 'fiber_100g': 6.180442096694843, 'proteins_100g': 8.426164464814688, 'energy_kcal_100g': 146.08681071183403}",1,80,high
diabetes,maltodextrin,"{'sugars_100g': 11.208501912392283, 'carbohydrates_100g': 23.31724028029138, 'salt_100g': 0.7886563710894443, 'fat_100g': 22.84131895005023, 'saturated_fat_100g': 8.664893749962893, 'fiber_100g': 2.131575901484081, 'proteins_100g': 25.23385250804657, 'energy_kcal_100g': 287.9625337061768}",1,80,high
diabetes,maple syrup,"{'sugars_100g': 83.61410463943987, 'carbohydrates_100g': 91.19863204530711, 'salt_100g': 0.27415565700296063, 'fat_100g': 3.197255393347635, 'saturated_fat_100g': 2.8751858331908595, 'fiber_100g': 0.11448028145529565, 'proteins_100g': 0.4311845544817785, 'energy_kcal_100g': 325.17057417908535}",1,80,high
diabetes,brown sugar,"{'sugars_100g': 65.72346620242334, 'carbohydrates_100g': 87.00837367252753, 'salt_100g': 0.3653958451644188, 'fat_100g': 4.82672750697018, 'saturated_fat_100g': 0.47177395571594594, 'fiber_100g': 0.30660282271092143, 'proteins_100g': 1.7754522302121079, 'energy_kcal_100g': 441.25903012062935}",1,80,high
diabetes,agave nectar,"{'sugars_100g': 19.45613440362941, 'carbohydrates_100g': 33.210977814362195, 'salt_100g': 0.13053598113107934, 'fat_100g': 19.192288200204146, 'saturated_fat_100g': 1.4277562178771652, 'fiber_100g': 1.554348580058742, 'proteins_100g': 0.5095380761889323, 'energy_kcal_100g': 247.52647511628103}",1,80,high
diabetes,invert sugar,"{'sugars_100g': 88.20387903883342, 'carbohydrates_100g': 69.07342537690992, 'salt_100g': 0.7041221695082954, 'fat_100g': 3.151753319036516, 'saturated_fat_100g': 0.026910500999587916, 'fiber_100g': 1.8249187631746382, 'proteins_100g': 1.899755672338421, 'energy_kcal_100g': 434.19226574238763}",1,80,high
diabetes,treacle,"{'sugars_100g': 9.957869991579171, 'carbohydrates_100g': 25.957764681371074, 'salt_100g': 0.3564605431836465, 'fat_100g': 13.151735631381488, 'saturated_fat_100g': 3.0907050981232578, 'fiber_100g': 9.44132946736643, 'proteins_100g': 17.662778356569977, 'energy_kcal_100g': 171.28133172309714}",1,80,high
diabetes,panela,"{'sugars_100g': 16.557760644451168, 'carbohydrates_100g': 41.08068641153773, 'salt_100g': 0.5786546816715692, 'fat_100g': 21.16286867233838, 'saturated_fat_100g': 5.468602397564666, 'fiber_100g': 6.848426588525804, 'proteins_100g': 12.37328481781022, 'energy_kcal_100g': 359.37649282022136}",1,80,high
diabetes,palm sugar,"{'sugars_100g': 78.49327613458333, 'carbohydrates_100g': 62.20249564773829, 'salt_100g': 0.5952241149828188, 'fat_100g': 4.190199197548882, 'saturated_fat_100g': 0.26824789528148396, 'fiber_100g': 1.8250704028669933, 'proteins_100g': 0.1343754251937077, 'energy_kcal_100g': 362.1324409696325}",1,80,high
